slug,market_id,entry_ts,direction,entry_price,fill_price,entry_btc_spot,final_btc_price,btc_price_to_beat,yes_won,fee_rate,payout,fee,pnl,outcome,signal_score,signal_confidence,signal_count,fee_regime
btc-updown-15m-1764134100,702492,1764134887,LONG,0.985,0.995,87484.31,0.0,0.0,True,0.0,0.005025125628140708,0.0,0.005025125628140708,WIN,84.27849190041574,0.6813655761024184,2,no-fee
btc-updown-15m-1764135000,702497,1764135789,LONG,0.995,0.9999,87615.79,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,85.19909102751524,0.7076659038901603,2,no-fee
btc-updown-15m-1764135900,702500,1764136688,SHORT,0.145,0.12999999999999998,87477.37,0.0,0.0,False,0.0,0.14942528735632182,0.0,0.14942528735632182,WIN,100.0,0.7455729166666667,3,no-fee
btc-updown-15m-1764136800,702701,1764137585,LONG,0.925,0.9400000000000001,87594.01,0.0,0.0,True,0.0,0.06382978723404249,0.0,0.06382978723404249,WIN,91.89083820662768,0.7638020833333333,3,no-fee
btc-updown-15m-1764137700,702716,1764138503,SHORT,0.085,0.08000000000000003,87576.48,0.0,0.0,False,0.0,0.08695652173913047,0.0,0.08695652173913047,WIN,100.0,0.7611979166666667,3,no-fee
btc-updown-15m-1764138600,702718,1764139386,LONG,0.845,0.86,87636.27,0.0,0.0,True,0.0,0.16279069767441862,0.0,0.16279069767441862,WIN,91.62977867203219,0.7429687500000001,3,no-fee
btc-updown-15m-1764139500,702725,1764140288,LONG,0.995,0.9999,87788.04,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764140400,702744,1764141188,SHORT,0.185,0.18,87735.94,0.0,0.0,True,0.0,-1.0,0.0,-1.0,LOSS,100.0,0.7351562500000001,3,no-fee
btc-updown-15m-1764142200,702757,1764142985,SHORT,0.105,0.09999999999999999,87725.58,0.0,0.0,False,0.0,0.1111111111111111,0.0,0.1111111111111111,WIN,100.0,0.7559895833333333,3,no-fee
btc-updown-15m-1764143100,702761,1764143885,LONG,0.995,0.9999,87928.0,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764144000,702833,1764144787,SHORT,0.005,0.0001,87631.28,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764144900,702839,1764145688,SHORT,0.24,0.235,87544.01,0.0,0.0,False,0.0,0.3071895424836601,0.0,0.3071895424836601,WIN,100.0,0.65,2,no-fee
btc-updown-15m-1764145800,702841,1764146586,LONG,0.645,0.65,87524.49,0.0,0.0,False,0.0,-1.0,0.0,-1.0,LOSS,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764146700,702847,1764147488,SHORT,0.015,0.0049999999999999906,87386.38,0.0,0.0,False,0.0,0.005025125628140694,0.0,0.005025125628140694,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764147600,702881,1764148401,SHORT,0.22,0.215,87362.51,0.0,0.0,False,0.0,0.27388535031847133,0.0,0.27388535031847133,WIN,100.0,0.7159533073929962,2,no-fee
btc-updown-15m-1764148500,702887,1764149285,SHORT,0.005,0.0001,87066.01,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764149400,702894,1764150186,SHORT,0.005,0.0001,86919.48,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764150300,702895,1764151089,SHORT,0.005,0.0001,86768.0,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764151200,702918,1764151985,LONG,0.955,0.965,86888.35,0.0,0.0,True,0.0,0.0362694300518135,0.0,0.0362694300518135,WIN,91.98458574181117,0.7716145833333333,3,no-fee
btc-updown-15m-1764152100,702931,1764152885,SHORT,0.025,0.019999999999999997,86841.63,0.0,0.0,False,0.0,0.02040816326530612,0.0,0.02040816326530612,WIN,100.0,0.7768229166666667,3,no-fee
btc-updown-15m-1764153000,702937,1764153789,LONG,0.835,0.84,86821.89,0.0,0.0,True,0.0,0.19047619047619052,0.0,0.19047619047619052,WIN,90.49649710630521,0.7403645833333333,3,no-fee
btc-updown-15m-1764153900,702943,1764154689,LONG,0.93,0.935,86903.98,0.0,0.0,True,0.0,0.06951871657754005,0.0,0.06951871657754005,WIN,91.90661478599222,0.7651041666666667,3,no-fee
btc-updown-15m-1764154800,702948,1764155587,LONG,0.82,0.825,86945.95,0.0,0.0,True,0.0,0.21212121212121218,0.0,0.21212121212121218,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764155700,702960,1764156489,SHORT,0.045,0.03499999999999999,86841.08,0.0,0.0,False,0.0,0.03626943005181346,0.0,0.03626943005181346,WIN,100.0,0.7716145833333333,3,no-fee
btc-updown-15m-1764156600,702967,1764157386,LONG,0.995,0.9999,87035.29,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764158400,703032,1764159185,SHORT,0.005,0.0001,86609.94,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764159300,703045,1764160085,SHORT,0.085,0.08,86491.67,0.0,0.0,False,0.0,0.08695652173913043,0.0,0.08695652173913043,WIN,100.0,0.775,2,no-fee
